,N,Affinity,Linkage,Covariance_Type,Time
123,320,manhattan,single,full,2.9363062381744385
124,640,manhattan,single,full,4.779500246047974
125,1280,manhattan,single,full,8.053092002868652
126,2560,manhattan,single,full,14.29353141784668
127,5120,manhattan,single,full,30.893619060516357
128,10240,manhattan,single,full,78.09127831459045
129,20480,manhattan,single,full,222.41595554351807
130,40,manhattan,single,tied,1.341949701309204
131,80,manhattan,single,tied,1.4212403297424316
132,160,manhattan,single,tied,1.5153114795684814
133,320,manhattan,single,tied,3.434669017791748
134,640,manhattan,single,tied,3.953202486038208
135,1280,manhattan,single,tied,7.231460332870483
136,2560,manhattan,single,tied,14.21677851676941
137,5120,manhattan,single,tied,30.929469347000122
138,10240,manhattan,single,tied,78.61169290542603
139,20480,manhattan,single,tied,224.47878575325012
140,40,manhattan,single,diag,0.8613803386688232
141,80,manhattan,single,diag,1.1368415355682373
142,160,manhattan,single,diag,1.6564412117004395
143,320,manhattan,single,diag,2.3744194507598877
144,640,manhattan,single,diag,4.092480182647705
145,1280,manhattan,single,diag,7.298446178436279
146,2560,manhattan,single,diag,14.652246952056885
147,5120,manhattan,single,diag,30.766561269760132
148,10240,manhattan,single,diag,80.43673253059387
149,20480,manhattan,single,diag,227.95996737480164
150,40,manhattan,single,spherical,0.8721804618835449
151,80,manhattan,single,spherical,1.155602216720581
152,160,manhattan,single,spherical,1.7035059928894043
153,320,manhattan,single,spherical,2.6546223163604736
154,640,manhattan,single,spherical,3.9170446395874023
155,1280,manhattan,single,spherical,7.215900659561157
156,2560,manhattan,single,spherical,14.716049194335938
157,5120,manhattan,single,spherical,31.73099374771118
158,10240,manhattan,single,spherical,83.24167084693909
159,20480,manhattan,single,spherical,225.8451886177063
160,40,euclidean,ward,full,1.2164249420166016
161,80,euclidean,ward,full,1.5021822452545166
162,160,euclidean,ward,full,0.8033828735351562
163,320,euclidean,ward,full,1.0709915161132812
164,640,euclidean,ward,full,1.184605598449707
165,1280,euclidean,ward,full,2.2029881477355957
166,2560,euclidean,ward,full,5.816296577453613
167,5120,euclidean,ward,full,19.432655334472656
168,10240,euclidean,ward,full,79.25604343414307
169,20480,euclidean,ward,full,339.42306303977966
170,40,euclidean,ward,tied,0.8462684154510498
171,80,euclidean,ward,tied,0.9526193141937256
172,160,euclidean,ward,tied,0.3440842628479004
173,320,euclidean,ward,tied,0.468066930770874
174,640,euclidean,ward,tied,0.8274898529052734
175,1280,euclidean,ward,tied,1.840912103652954
176,2560,euclidean,ward,tied,5.584970712661743
177,5120,euclidean,ward,tied,19.27605938911438
178,10240,euclidean,ward,tied,79.17143177986145
179,20480,euclidean,ward,tied,338.7191619873047
180,40,euclidean,ward,diag,0.6712934970855713
181,80,euclidean,ward,diag,0.8148834705352783
182,160,euclidean,ward,diag,0.330888032913208
183,320,euclidean,ward,diag,0.4485034942626953
184,640,euclidean,ward,diag,0.750715970993042
185,1280,euclidean,ward,diag,1.6945807933807373
186,2560,euclidean,ward,diag,5.357055187225342
187,5120,euclidean,ward,diag,18.760704040527344
188,10240,euclidean,ward,diag,78.74473738670349
189,20480,euclidean,ward,diag,338.27873063087463
190,40,euclidean,ward,spherical,0.7247390747070312
191,80,euclidean,ward,spherical,0.8899610042572021
192,160,euclidean,ward,spherical,0.6875836849212646
193,320,euclidean,ward,spherical,0.4223015308380127
194,640,euclidean,ward,spherical,0.7649939060211182
195,1280,euclidean,ward,spherical,1.7346994876861572
196,2560,euclidean,ward,spherical,5.393836498260498
197,5120,euclidean,ward,spherical,18.877748489379883
198,10240,euclidean,ward,spherical,78.90573215484619
199,20480,euclidean,ward,spherical,346.94809317588806
200,40,euclidean,complete,full,1.3304991722106934
201,80,euclidean,complete,full,1.5335123538970947
202,160,euclidean,complete,full,0.9369814395904541
203,320,euclidean,complete,full,1.096104621887207
204,640,euclidean,complete,full,4.262320518493652
205,1280,euclidean,complete,full,2.203359603881836
206,2560,euclidean,complete,full,5.9953625202178955
207,5120,euclidean,complete,full,19.557268857955933
208,10240,euclidean,complete,full,76.8820743560791
209,20480,euclidean,complete,full,324.8177194595337
210,40,euclidean,complete,tied,1.0495879650115967
211,80,euclidean,complete,tied,1.000121831893921
212,160,euclidean,complete,tied,0.4002504348754883
213,320,euclidean,complete,tied,1.2055833339691162
214,640,euclidean,complete,tied,2.40799617767334
215,1280,euclidean,complete,tied,2.245894193649292
216,2560,euclidean,complete,tied,5.6548097133636475
217,5120,euclidean,complete,tied,21.336738348007202
218,10240,euclidean,complete,tied,76.42073273658752
219,20480,euclidean,complete,tied,324.1565144062042
220,40,euclidean,complete,diag,0.7395827770233154
221,80,euclidean,complete,diag,0.8459208011627197
222,160,euclidean,complete,diag,0.32665038108825684
223,320,euclidean,complete,diag,0.457932710647583
224,640,euclidean,complete,diag,2.530118227005005
225,1280,euclidean,complete,diag,1.7021198272705078
226,2560,euclidean,complete,diag,7.290761947631836
227,5120,euclidean,complete,diag,18.68884015083313
228,10240,euclidean,complete,diag,75.84083867073059
229,20480,euclidean,complete,diag,324.6287610530853
230,40,euclidean,complete,spherical,0.9065420627593994
231,80,euclidean,complete,spherical,0.939586877822876
232,160,euclidean,complete,spherical,0.79616379737854
233,320,euclidean,complete,spherical,1.1406223773956299
234,640,euclidean,complete,spherical,2.170666456222534
235,1280,euclidean,complete,spherical,1.9388301372528076
236,2560,euclidean,complete,spherical,6.749867677688599
237,5120,euclidean,complete,spherical,18.91263246536255
238,10240,euclidean,complete,spherical,76.50470399856567
239,20480,euclidean,complete,spherical,323.2335867881775
240,40,euclidean,average,full,1.516916036605835
241,80,euclidean,average,full,2.206852912902832
242,160,euclidean,average,full,0.7632229328155518
243,320,euclidean,average,full,0.8441329002380371
244,640,euclidean,average,full,5.265763521194458
245,1280,euclidean,average,full,8.353538036346436
246,2560,euclidean,average,full,16.78216028213501
247,5120,euclidean,average,full,40.86647653579712
248,10240,euclidean,average,full,125.40822982788086
249,20480,euclidean,average,full,466.2293379306793
250,40,euclidean,average,tied,1.226870059967041
251,80,euclidean,average,tied,1.4467864036560059
252,160,euclidean,average,tied,0.5668702125549316
253,320,euclidean,average,tied,1.1715426445007324
254,640,euclidean,average,tied,4.296046495437622
255,1280,euclidean,average,tied,7.6755266189575195
256,2560,euclidean,average,tied,16.11860466003418
257,5120,euclidean,average,tied,41.246581077575684
258,10240,euclidean,average,tied,126.37702560424805
259,20480,euclidean,average,tied,462.02548599243164
260,40,euclidean,average,diag,0.9421420097351074
261,80,euclidean,average,diag,1.1438210010528564
262,160,euclidean,average,diag,0.4234151840209961
263,320,euclidean,average,diag,0.4503593444824219
264,640,euclidean,average,diag,4.261874437332153
265,1280,euclidean,average,diag,7.255739212036133
266,2560,euclidean,average,diag,16.204782724380493
267,5120,euclidean,average,diag,40.09807348251343
268,10240,euclidean,average,diag,125.27753448486328
269,20480,euclidean,average,diag,470.62627601623535
270,40,euclidean,average,spherical,0.8852219581604004
271,80,euclidean,average,spherical,1.0775983333587646
272,160,euclidean,average,spherical,1.313185214996338
273,320,euclidean,average,spherical,2.4522483348846436
274,640,euclidean,average,spherical,4.389126300811768
275,1280,euclidean,average,spherical,7.378169059753418
276,2560,euclidean,average,spherical,15.920752048492432
277,5120,euclidean,average,spherical,40.8285653591156
278,10240,euclidean,average,spherical,126.3507719039917
279,20480,euclidean,average,spherical,474.70051097869873
280,40,euclidean,single,full,1.5265588760375977
281,80,euclidean,single,full,1.672393798828125
282,160,euclidean,single,full,2.1356773376464844
283,320,euclidean,single,full,3.029268264770508
284,640,euclidean,single,full,4.857072830200195
285,1280,euclidean,single,full,7.866271495819092
286,2560,euclidean,single,full,14.431714057922363
287,5120,euclidean,single,full,31.22721242904663
288,10240,euclidean,single,full,80.62393474578857
289,20480,euclidean,single,full,234.7089765071869
290,40,euclidean,single,tied,1.1378633975982666
291,80,euclidean,single,tied,1.7987797260284424
292,160,euclidean,single,tied,2.376814365386963
293,320,euclidean,single,tied,2.8089916706085205
294,640,euclidean,single,tied,3.9829580783843994
295,1280,euclidean,single,tied,7.1391282081604
296,2560,euclidean,single,tied,14.385011911392212
297,5120,euclidean,single,tied,31.31149673461914
298,10240,euclidean,single,tied,80.74855256080627
299,20480,euclidean,single,tied,234.05502343177795
300,40,euclidean,single,diag,0.9071216583251953
301,80,euclidean,single,diag,1.0747933387756348
302,160,euclidean,single,diag,1.560610294342041
303,320,euclidean,single,diag,2.375056028366089
304,640,euclidean,single,diag,4.075778245925903
305,1280,euclidean,single,diag,7.309501886367798
306,2560,euclidean,single,diag,14.33586311340332
307,5120,euclidean,single,diag,31.282455921173096
308,10240,euclidean,single,diag,81.5609130859375
309,20480,euclidean,single,diag,237.02245926856995
310,40,euclidean,single,spherical,0.9500491619110107
