,N,Time
1,40,0.358701944
2,80,0.603657007
3,160,2.097543001
4,320,8.698883057
5,640,23.15659881
6,1280,34.80745196
7,2560,60.38958001
8,5120,82.362391
9,10240,124.526423
10,20480,247.290102
11,40960,999.716784
12,81920,1793.723141
13,163840,4237.141185
