,N,Time
0,40.0,0.042882442474365234
1,80.0,0.05282878875732422
2,160.0,0.04883980751037598
3,320.0,0.07080912590026855
4,640.0,0.10671591758728027
5,1280.0,0.24331927299499512
6,2560.0,0.5465388298034668
7,5120.0,0.6616411209106445
8,10240.0,0.8645665645599365
9,20480.0,1.3071708679199219
10,40960.0,2.4147634506225586
11,81920.0,4.482025861740112
12,163840.0,9.205377101898193
13,327680.0,17.600196361541748
14,655360.0,34.05451703071594
15,1310720.0,73.787109375
16,2621440.0,141.60973167419434
17,5242880.0,283.8154926300049
