"","N","Time"
"1",80,0.00211191177368164
"2",160,0.0156199932098389
"3",320,0.031242847442627
"4",640,0.144950866699219
"5",1280,0.692509889602661
"6",2560,2.393630027771
"7",5120,2.16554307937622
"8",10240,2.18911290168762
"9",20480,2.49221920967102
"10",40960,3.09857583045959
"11",81920,3.86493706703186
"12",163840,6.06524801254272
"13",327680,11.7984709739685
"14",655360,23.2177760601044
"15",1310720,38.8132619857788
"16",2621440,1.19905103445053
"17",NA,NA
