,N,Time
0,40,31.13602233
1,80,41.55471015
2,160,55.34934759
3,320,69.30478764
4,640,75.64774609
5,1280,93.03255773
6,2560,146.1737111
7,5120,275.7937095
8,10240,764.869283
9,20480,1774.745344
10,40960,6470.447705
