,N,Model,Time
193,80,EVV,0.018955946
194,160,EVV,0.03490591
195,320,EVV,0.113694906
196,640,EVV,0.223402977
197,1280,EVV,0.795905113
198,2560,EVV,2.631963015
199,5120,EVV,2.414513111
200,10240,EVV,2.84938097
201,20480,EVV,3.559483051
202,40960,EVV,5.356646776
203,81920,EVV,8.920119047
204,163840,EVV,13.50090909
205,327680,EVV,25.8209641
206,655360,EVV,54.04733396
207,1310720,EVV,92.56776905
208,40,VVV,0.007975817
209,80,VVV,0.011966944
210,160,VVV,0.041888952
211,320,VVV,0.083804846
212,640,VVV,0.222404003
213,1280,VVV,0.765951872
214,2560,VVV,2.112385988
215,5120,VVV,2.37764287
216,10240,VVV,2.556195974
217,20480,VVV,3.146588087
218,40960,VVV,4.407217026
219,81920,VVV,7.01723814
220,163840,VVV,11.56704378
221,327680,VVV,22.04705596
222,655360,VVV,41.01231408
223,1310720,VVV,86.30233121
